"Source","Target","Weight"
"as-expobank","turkiye-finans-katilim-bankasi-as-istanbul-turkey-tur",15041260
"as-expobank","ubs-switzerland-ag-zurich-switzerland-che",1e+07
"as-expobank","ulster-bank-limited-dublin-ireland-irl",11926.5
"as-expobank","unicredit-bank-cjsc-moscow-russia-rus",17700000
"as-expobank","unicredit-bank-moscow-russia-rus",465319.83
"as-expobank","usb-bank-plc-nicosia-cyprus-cyp",3500000
"as-expobank","victoriabank-chisinau-moldova-mda",11609.95
"as-expobank","vtb-bank-austria-ag-vienna-austria-aut",6275000
"as-expobank","vtb-bank-open-joint-stock-bank-moscow-russia-rus",447777.2
"as-meridian-trade-bank","albaraka-turk-participation-bank-istanbul-turkey-tur",363900
"as-meridian-trade-bank","asya-katilim-bankasi-as-istanbul-turkey-tur",73186
"as-meridian-trade-bank","canara-bank-mumbai-india-ind",454822
"as-meridian-trade-bank","credit-suisse-ag-zurich-switzerland-che",2172150
"as-meridian-trade-bank","habib-bank-a-g-zurich-zurich-switzerland-che",2405655.96
"as-meridian-trade-bank","ing-belgium-sanv-brussels-belgium-bel",179026.57
"as-meridian-trade-bank","international-invest-bank-kiev-ukraine-ukr",1792200
"as-meridian-trade-bank","kuwait-turkish-participation-bk-inc-istanbul-turkey-tur",223000
"as-meridian-trade-bank","nurbank-jsc-almaty-rep-of-kazakhstan-kaz",369500
"as-meridian-trade-bank","rosbank-moscow-russia-rus",125850
"as-meridian-trade-bank","shanghai-pudong-development-bank-shanghai-china-chn",99958.4
"as-meridian-trade-bank","turkiye-cummuriyeti-ziraat-bankasi-ankara-turkey-tur",1996990
"as-meridian-trade-bank","turkiye-finans-katilim-bankasi-as-istanbul-turkey-tur",170428
"as-meridian-trade-bank","ukrsotzbank-kiev-ukraine-ukr",3733968.8
"as-meridian-trade-bank","wing-hang-bank-china-limited-shenzhen-china-chn",150000
"as-privatbank","danske-bank-lv-lva",47528.52
"as-privatbank","hsbc-hong-kong-hkg",2843980
"as-privatbank","industrial-savings-bank-close-joint-russia-rus",5100000
"as-privatbank","standard-chartered-bank-hong-kong-ltd-hong-kong-hkg",6133860.03
"as-sampo-pank-talinn","aizraulkles-banka-latvia-lva",465994.71
"associated-foreign-exchange","ing-bank-nv-spanish-branch-madrid-spain-esp",15000
"asya-katilim-bankasi-a-s","standard-chartered-bank-dubai-uae-are",1386488
"asya-katilim-bankasi-as","banque-de-commerce-et-de-placements-s-a-geneva-switzerland-che",565291.42
"australia-and-new-zealand-banking","asbbank-limited-auckland-new-zealand-nzl",196499.45
"australia-and-new-zealand-banking","commonwealth-bank-of-australia-sydney-australia-aus",1100000
"australia-and-new-zealand-banking","islami-bank-bangladesh-ltd-dhaka-bangladesh-bgd",336133.45
"australia-and-new-zealand-banking","oversea-chinese-banking-corp-ltd-singapore-sgp",3e+05
"australia-and-new-zealand-banking","zions-first-national-bank-ut-us-usa",203400
"australia-and-new-zealand-banking-group-ltd","dbs-bank-ltd-singapore-sgp",149949.18
"bakhtar-bank","national-bank-of-ras-al-khaimah-ras-al-khaimah-uae-are",593707.27
"baltic-international-bank","ab-dnb-bankas-vilnius-lithuania-ltu",99905.55
"baltic-international-bank","abn-amro-bank-nv-amsterdam-netherlands-nld",118975
"baltic-international-bank","rigensis-bank-as-latvia-lva",625503
"baltik-development-bank","seb-bank-tallinn-estonia-est",813645.2
"baltikums-bank","andhra-bank-ltd-mumbai-india-ind",76493
"baltikums-bank","bank-of-maharashtra-mumbai-india-ind",99980
"baltikums-bank","bank-zachodni-wbk-sa-poznan-poland-pol",2388720
"baltikums-bank","banque-de-commerce-et-de-placements-s-a-geneva-switzerland-che",1988000
"baltikums-bank","berliner-volksbank-e-g-berlin-germany-deu",10000
"baltikums-bank","ceska-sportelna-as-prague-czech-republic-cze",599980
"baltikums-bank","commonwealth-bank-of-australia-sydney-australia-aus",41178.8
"baltikums-bank","credit-suisse-singapore-branch-singapore-sgp",1045000
"baltikums-bank","dbs-bank-ltd-singapore-sgp",1765440
"baltikums-bank","kazkommertsbank-almaty-kazakhstan-kaz",655000
"baltikums-bank","meinl-bank-ag-viennaaustria-aut",1113805
"baltikums-bank","national-bank-for-foreign-economic-activity-of-the-rep-of-uzbekistan-tashkent-uzbekistan-uzb",3693000
"baltikums-bank","public-joint-stock-company-fidobank-kyiv-ukraine-ukr",1599000
"baltikums-bank","standard-chartered-bank-dubai-uae-are",534948
"baltikums-bank","volksbank-ag-schaan-liechtenstein-lie",50000
"baltikums-bank-as","bank-of-cyprus-public-company-ltd-nicosia-cyprus-cyp",5e+06
"baltikums-bank-as","banque-heritage-geneva-switzerland-che",3684950
"baltikums-bank-as","barclays-bank-plc-nicosia-cyprus-cyp",13100000
"baltikums-bank-as","bnp-paribas-suisse-sa-geneva-switzerland-che",12700000
"baltikums-bank-as","bsi-sa-zurich-switzerland-che",8324672.07
"baltikums-bank-as","china-construction-bank-zhejiang-china-chn",1770000
"baltikums-bank-as","cyprus-popular-bank-public-co-ltd-cyprus-cyp",4e+05
"baltikums-bank-as","open-joint-stock-company-vtb-bank-kiev-ukraine-ukr",66230192.38
"baltikums-bank-as","russian-commercial-bank-cyprus-limassol-cyprus-cyp",7300000
"baltikums-bank-as","skandinaviska-enskilda-banken-sweden-stockholm-sweden-swe",4837379.55
"baltikums-bank-as","standard-chartered-bank-hong-kong-ltd-hong-kong-hkg",7722872.88
"baltinvestbank","eesti-krediidipank-tallinn-estonia-est",6681531.1
"baltinvestbank","fbme-bank-ltd-nicosia-cyprus-cyp",5800000
"baltinvestbank","marfin-popular-bank-public-co-ltd-nicosia-cyprus-cyp",847670
"baltinvestbank","rietumu-banka-riga-latvia-lva",2895000
"banca-de-economii","as-privatbank-lv-lva",20686500
"banca-de-economii","gazprombank-ru-rus",190000
"banca-de-economii-a-moldovei","marfin-popular-bank-public-co-ltd-limassol-cyprus-cyp",192874.92
"banca-di-credito-cooperativo-di-pianfei-e-rocca-de-baldi-scrl","hsbc-bank-middle-east-abu-dhabi-united-arab-emirates-are",5162470.1
"banca-popolare-di-milano-scarl","banco-bilbao-vizcaya-argentaria-sa-bilbao-spain-esp",900
"banca-popolare-di-milano-scarl","brd-group-societe-generale-sa-bucharest-romania-rou",900
"banca-popolare-di-milano-scarl","citibank-espana-sa-madrid-spain-esp",1200
"banca-popolare-di-milano-scarl","citibank-na-new-york-usa-usa",600
"banca-popolare-di-milano-scarl","hellenic-bank-ltd-nicosia-cyprus-cyp",600
"banca-popolare-di-milano-scarl","societe-generale-paris-france-fra",600
"banca-privada-dandorra-sa","caledonian-bank-limited-georgetown-ky-cym",2867110
"banca-sociala-sa","rietumu-bank-riga-latvia-lva",2942230
"banco-actinver-sa-institution-de-banca-multiple-grupo-financiero","valley-national-bank-new-york-usa-usa",38270
"banco-amambay-s-aparaguay-pry","indian-overseas-bank-hong-kong-hkg",408202
"banco-base-sa","global-bank-of-commerce-st-johns-antigua-and-barbuda-atg",14502.2
"banco-bct-sa","barclays-bank-plc-united-kingdom-gbr",6200
"banco-bic-portugues-sa","dms-bank-trust-ltd-georgetown-cayman-islands-cym",26928045.16
"banco-comercial-e-de-investimentos","hua-nan-commercial-bank-ltd-taipei-taiwan-twn",1762700
"banco-de-comercio","bank-of-the-westwalnut-creek-ca-usa",7769.89
"banco-de-credito-del-peru","banco-de-comercio-lima-peru-per",5700446.06
"banco-de-credito-del-peru","dms-bank-trust-ltd-georgetown-cayman-islands-cym",98085.76
